regionId	raceId	apType	Description	name	description	href
AK	AK 3107	Ballot Measure	1 - Voter Reg through PFD App	Ballot Measure 1 	Allow voter registration through Alaska's Permanent Fund Dividend application	https://ballotpedia.org/Alaska_Voter_Registration_via_the_Permanent_Fund_Dividend_Application,_Ballot_Measure_1_(2016)
AK	AK 3108	Ballot Measure	2 - Allow Student Loan Bonds	Ballot Measure 2 	Allow the state to borrow money to finance postsecondary student loans	https://ballotpedia.org/Alaska_State_Government_Debt_for_Postsecondary_Student_Loans,_Ballot_Measure_2_(2016)
AL	AL 1984	State Amendment	1 - Auburn Trustees Term Limits	State Amendment 1 	Increase diversity on Auburn Board of Trustees, and stagger trustee term expirations	https://ballotpedia.org/Alabama_Auburn_University_Board_of_Trustees,_Amendment_1_(2016)
AL	AL 1985	State Amendment	2 - Dept. of Conservation	State Amendment 2 	Prohibit the reallocation of state park funds	https://ballotpedia.org/Alabama_Rules_Governing_Allocation_of_State_Park_Funds,_Amendment_2_(2016)
AL	AL 1986	State Amendment	3 - Adoption of Local Amendments	State Amendment 3 	Change the process for determining local constitutional amendments	https://ballotpedia.org/Alabama_Rules_for_Determining_a_Local_Constitutional_Amendment,_Amendment_3_(2016)
AL	AL 1987	State Amendment	4 - County Commission Programs	State Amendment 4 	Grant more authority to county commissions for administrative duties	https://ballotpedia.org/Alabama_County_Affairs_Administration,_Amendment_4_(2016)
AL	AL 1988	State Amendment	5 - Separation of Powers Language	State Amendment 5 	Reword language in the state constitution regarding separation of powers	https://ballotpedia.org/Alabama_State_Constitutional_Language_Governing_Separation_of_Powers,_Amendment_5_(2016)
AL	AL1989	State Amendment	6 - Impeachments	State Amendment 6 	Establish new rules for the impeachment of state officials	https://ballotpedia.org/Alabama_Impeachment,_Amendment_6_(2016)
AL	AL1990	State Amendment	7 - Etowah Personnel	State Amendment 7 	Place Etowah County Sheriff's Office employees under authority of Sheriff's Office's Personnel Board	https://ballotpedia.org/Alabama_Supervision_of_Employees_in_the_Etowah_County_Sheriff%27s_Department,_Amendment_7_(2016)
AL	AL 1991	State Amendment	8 - Right To Work	State Amendment 8 	Add the state's current right to work policies to its constitution	https://ballotpedia.org/Alabama_Right_to_Work,_Amendment_8_(2016)
AL	AL 1992	State Amendment	9 - Pickens Judge Age	State Amendment 9 	Increase the maximum age for county probate judge candidates to 75	https://ballotpedia.org/Alabama_Increase_of_Maximum_Qualifying_Age_for_Pickens_County_Judges,_Amendment_9_(2016)
AL	AL1993	State Amendment	10 - Calhoun Jurisdiction	State Amendment 10 	Police and planning jurisdictions in Calhoun County	https://ballotpedia.org/Alabama_Restriction_of_Police_and_Planning_Jurisdiction_in_Calhoun_County,_Amendment_10_(2016)
AL	AL1994	State Amendment	11 - Manufacturing Zone Tax	State Amendment 11 	Allow cities to create special manufacturing zones	https://ballotpedia.org/Alabama_Use_of_City_Manufacturing_Zone_Tax_Revenue_to_Incentivize_Manufacturing,_Amendment_11_(2016)
AL	AL1995	State Amendment	12 - Baldwin Toll Roads	State Amendment 12 	Establish a governing body to oversee toll roads and bridges in Baldwin County	https://ballotpedia.org/Alabama_Authorization_of_Toll_Districts_and_Toll_District_Revenue_Bond_Debt_in_Baldwin_County,_Amendment_12_(2016)
AL	AL2016	State Amendment	13 - Repeal Age Restriction	State Amendment 13 	Remove maximum age limits for state government officials	https://ballotpedia.org/Alabama_Removal_of_Age_Restriction_for_Government_Officials,_Amendment_13_(2016)
AL	AL2017	State Amendment	14 - Budget Resolution	State Amendment 14 	Uphold "present and voting" interpretation for passage of budget isolation resolutions	https://ballotpedia.org/Alabama_Approval_of_Budget_Isolation_Resolution_Proposing_a_Local_Law,_Amendment_14_(2016)
AR	AR6485	Issue	1 - Amend Term Limits and Rules	Issue 1 	Increase the term lengths for certain county officials from two years to four years	https://ballotpedia.org/Arkansas_Increase_in_Length_of_Term_in_Office_for_Some_County_Officials,_Issue_1_(2016)
AR	AR6486	Issue	2 - Absent Gov Retains Power	Issue 2 	Allow the governor to retain executive authority when out of state	https://ballotpedia.org/Arkansas_Gubernatorial_Power_When_Governor_is_Absent_from_State,_Issue_2_(2016)
AR	AR6487	Issue	3 - Development Bonds	Issue 3 	Remove the cap on bonds the state can issue for economic development projects	https://ballotpedia.org/Arkansas_Removal_of_Cap_on_State-Issued_Bonds,_Issue_3_(2016)
AR	AR 6494	Issue	6 - Medical Marijuana Con Amend	Issue 6 	Legalize medical marijuana for qualifying patients	https://ballotpedia.org/Arkansas_Medical_Marijuana_Amendment,_Issue_6_(2016)
AZ	AZ4208	Proposition	205 - Legalize Marijuana	Proposition 205 	Legalize the possession and use of marijuana for persons 21 and older	https://ballotpedia.org/Arizona_Marijuana_Legalization,_Proposition_205_(2016)
AZ	AZ4209	Proposition	206 - Increase Minimum Wage	Proposition 206 	Raise the state minimum wage to $10 in 2017 and to $12 by 2020	https://ballotpedia.org/Arizona_Minimum_Wage_and_Paid_Time_Off,_Proposition_206_(2016)
CA	CA8695	Proposition	51 - School Bonds	Proposition 51 	Allow the state to issue bonds to improve and construct schools	https://ballotpedia.org/California_Proposition_51,_Public_School_Facility_Bonds_(2016)
CA	CA8696	Proposition	52 - Hospital Fees	Proposition 52 	Require voter approval of changes to the state's hospital fee program	https://ballotpedia.org/California_Proposition_52,_Continued_Hospital_Fee_Revenue_Dedicated_to_Medi-Cal_Unless_Voters_Approve_Changes_(2016)
CA	CA8699	Proposition	53 - Approve Revenue Bonds	Proposition 53 	Require voter approval for the state-issued bonds requiring tax increases or fees for repayment	https://ballotpedia.org/California_Proposition_53,_Voter_Approval_Requirement_for_Revenue_Bonds_above_$2_Billion_(2016)
CA	CA8700	Proposition	54 - Post Legislature Bills	Proposition 54 	Require bills to be published in print and online 72 hours before the state legislature can vote on them	https://ballotpedia.org/California_Proposition_54,_Public_Display_of_Legislative_Bills_Prior_to_Vote_(2016)
CA	CA8701	Proposition	55 - Tax Extension Ed, Health	Proposition 55 	Extend personal income tax increases on incomes over $250,000	https://ballotpedia.org/California_Proposition_55,_Extension_of_the_Proposition_30_Income_Tax_Increase_(2016)
CA	CA8702	Proposition	56 - Cigarette Tax	Proposition 56 	Increase the state tobacco tax by $2 per pack of 20	https://ballotpedia.org/California_Proposition_56,_Tobacco_Tax_Increase_(2016)
CA	CA8703	Proposition	57 - Criminal Sentencing Regs	Proposition 57 	Increase parole opportunities for non-violent felons	https://ballotpedia.org/California_Proposition_57,_Parole_for_Non-Violent_Criminals_and_Juvenile_Court_Trial_Requirements_(2016)
CA	CA8704	Proposition	58 - Bilingual Ed	Proposition 58 	Allow non-English languages to be used in public schools	https://ballotpedia.org/California_Proposition_58,_Non-English_Languages_Allowed_in_Public_Education_(2016)
CA	CA8705	Proposition	59 - Campaign Finance	Proposition 59 	Advise state officials to overturn Citizens United	https://ballotpedia.org/California_Proposition_59,_Overturn_of_Citizens_United_Act_Advisory_Question_(2016)
CA	CA 8697	Proposition	60 - Adult Film Health Regs	Proposition 60 	Require the use of condoms in pornographic films	https://ballotpedia.org/California_Proposition_60,_Condoms_in_Pornographic_Films_(2016)
CA	CA8706	Proposition	61 - State Agency Drug Prices	Proposition 61 	Require the state to pay the same rate for prescription drugs as the VA	https://ballotpedia.org/California_Proposition_61,_Drug_Price_Standards_(2016)
CA	CA8707	Proposition	62 - Death Penalty Repeal	Proposition 62 	Repeal the death penalty and make life in prison without parole the maximum sentence	https://ballotpedia.org/California_Proposition_62,_Repeal_of_the_Death_Penalty_(2016)
CA	CA8698	Proposition	63 - Firearm and Ammo Control	Proposition 63 	Prohibit high-capacity ammo magazines, and requiring background checks to purchase ammunition	https://ballotpedia.org/California_Proposition_63,_Background_Checks_for_Ammunition_Purchases_and_Large-Capacity_Ammunition_Magazine_Ban_(2016)
CA	CA8708	Proposition	64 - Legalize Marijuana	Proposition 64 	Legalize recreational use of marijuana for persons 21 and older	https://ballotpedia.org/California_Proposition_64,_Marijuana_Legalization_(2016)
CA	CA8710	Proposition	65 - Carry-Out Bags	Proposition 65 	Redirect the revenue from disposable bag sales to a wildlife conservation fund	https://ballotpedia.org/California_Proposition_65,_Dedication_of_Revenue_from_Disposable_Bag_Sales_to_Wildlife_Conservation_Fund_(2016)
CA	CA8712	Proposition	66 - Reform Death Penalty	Proposition 66 	Put trial courts in charge of death penalty sentence petitions	https://ballotpedia.org/California_Proposition_66,_Death_Penalty_Procedures_(2016)
CA	CA8713	Proposition	67 - Overturn Plastic Ban	Proposition 67 	Ban grocery stores and pharmacies from providing single-use paper or plastic bags to customers	https://ballotpedia.org/California_Proposition_67,_Plastic_Bag_Ban_Veto_Referendum_(2016)
CO	CO 7598	Proposition	106 - Medical Aid in Dying	Proposition 106 	Allow terminally-ill patients within six months of death to take life-ending drugs	https://ballotpedia.org/Colorado_%22End_of_Life_Options_Act,%22_Proposition_106_(2016)
CO	CO 7599	Proposition	107 - Recreate Pres Primary	Proposition 107 	Establish open-primaries, in which voters not affiliated with a political party can vote	https://ballotpedia.org/Colorado_Presidential_Primary_Election,_Proposition_107_(2016)
CO	CO 7600	Proposition	108 - Expand Unaffiliated Voting	Proposition 108 	Allow unaffiliated voters to cast their ballots in a major political party's primary election	https://ballotpedia.org/Colorado_Unaffiliated_Elector,_Proposition_108_(2016)
CO	CO 7594	Amendment	69 - State Healthcare System	Amendment 69 	A universal healthcare system in the state called Colorado Care	https://ballotpedia.org/Colorado_Creation_of_ColoradoCare_System,_Amendment_69_(2016)
CO	CO 7595	Amendment	70 - Increase Minimum Wage	Amendment 70 	Annual increases to the minimum wage until it reaches $12 per hour in 2020	https://ballotpedia.org/Colorado_$12_Minimum_Wage,_Amendment_70_(2016)
CO	CO 7596	Amendment	71 - Constitutional Initiatives	Amendment 71 	Petitions must be distributed across the state's 35 districts and garner 55 percent majority	https://ballotpedia.org/Colorado_Imposition_of_Distribution_and_Supermajority_Requirements_for_Citizen-Initiated_Constitutional_Amendments,_Amendment_71_(2016)
CO	CO 7597	Amendment	72 - Increase Tobacco Taxes	Amendment 72 	A $1.75 tax increase on cigarettes per pack of 20	https://ballotpedia.org/Colorado_Tobacco_Tax_Increase,_Amendment_72_(2016)
CO	CO 7591	Amendment	T - No Involuntary Servitude	Amendment T 	Remove line in the Colorado Constitution that permits forced, unpaid labor by convicted criminals	https://ballotpedia.org/Colorado_Removal_of_Exception_to_Slavery_Prohibition_for_Criminals,_Amendment_T_(2016)
CO	CO 7593	Amendment	U - Property Tax Exemption	Amendment U 	Property tax exemption for possessory interests under $6,000	https://ballotpedia.org/Colorado_Property_Tax_Exemption_for_Some_Possessory_Interests,_Amendment_U_(2016)
DC	DC9336	Advisory Referendum	B - Petition Congress for Statehood	Advisory Referendum B 	Advise the Washington, D.C. city council to petition Congress for statehood 	https://ballotpedia.org/Washington_D.C.,_Statehood_Referendum_(November_2016)
FL	FL 11735	Amendment	1 - Solar Electricity Rights	Amendment 1 	Give Florida residents the right to produce solar energy and protect those who choose not to from subsidies	https://ballotpedia.org/Florida_Solar_Energy_Subsidies_and_Personal_Solar_Use,_Amendment_1_(2016)
FL	FL 11734	Amendment	2 - Medical Marijuana	Amendment 2 	Legalize medical marijuana for residents with debilitating diseases confirmed by a physician	https://ballotpedia.org/Florida_Medical_Marijuana_Legalization,_Amendment_2_(2016)
FL	FL 11736	Amendment	3 - 1st Responders Tax Cut	Amendment 3 	Property tax exemptions to first responders disabled in the line of duty	https://ballotpedia.org/Florida_Tax_Exemptions_for_Disabled_First_Responders,_Amendment_3_(2016)
FL	FL 11737	Amendment	5 - Revise Homestead Tax	Amendment 5 	Revise language on property tax exemption for senior citizens	https://ballotpedia.org/Florida_Property_Tax_Exemptions_for_Senior_Citizens,_Amendment_5_(2016)
GA	GA12512	Constitutional Amendment	1 - Failing Schools	Constitutional Amendment 1 	Allow state to intervene in "chronically failing" schools to improve student performance	https://ballotpedia.org/Georgia_Authorization_of_the_State_Government_to_Intervene_in_Failing_Local_Schools,_Amendment_1_(2016)
GA	GA12513	Constitutional Amendment	2 - Safe Harbor Fund	Constitutional Amendment 2 	Penalties from sex crimes funneled into Safe Harbor for Sexually Exploited Children Fund	https://ballotpedia.org/Georgia_Additional_Penalties_for_Sex_Crimes_to_Fund_Services_for_Sexually_Exploited_Children,_Amendment_2_(2016)
GA	GA12514	Constitutional Amendment	3 - Judicial Qualifications	Constitutional Amendment 3 	Re-establish the Judicial Qualifications Commission under guidance of the General Assembly	https://ballotpedia.org/Georgia_Replacement_of_the_Judicial_Qualifications_Commission,_Amendment_3_(2016)
GA	GA12511	Constitutional Amendment	4 - Fireworks Tax	Constitutional Amendment 4 	Revenue from fireworks sales tax would go to trauma care, fire protection services and public safety	https://ballotpedia.org/Georgia_Uses_of_Revenue_from_Taxes_on_Fireworks,_Amendment_4_(2016)
HI	HI 12981	Amendment	1 - Jury Trials Civil Cases	Amendment 1 	Increase the threshold value in controversy requirement for jury trials in civil cases at common law to $10,000	https://ballotpedia.org/Hawaii_Threshold_of_Financial_Damage_Required_to_Establish_the_Right_to_a_Trial_by_Jury,_Amendment_1_(2016)
