state	pollster_slug	dem_name	dem_label	gop_name	gop_label
AK		Ray Metcalfe	Metcalfe	Lisa Murkowski	Murkowski
AL		Ronald Crumpton	Crumpton	Richard Shelby	Shelby
AR		Conner Eldridge	Eldridge	John Boozman	Boozman
AZ	2016-arizona-senate-mccain-vs-kirkpatrick	Ann Kirkpatrick	Kirkpatrick	John McCain	McCain
CA	2016-california-senate-harris-vs-sanchez				
CO	2016-colorado-senate-glenn-vs-bennet	Michael Bennet	Bennet	Darryl Glenn	Glenn
CT	2016-connecticut-senate-carter-vs-blumenthal	Richard Blumenthal	Blumenthal	Dan Carter	Carter
FL	2016-florida-senate-rubio-vs-murphy	Patrick Murphy	Murphy	Marco Rubio	Rubio
GA	2016-georgia-senate-isakson-vs-barksdale	James Barksdale	Barksdale	John Isakson	Isakson
HI		Brian Schatz	Schatz	John Carroll	Carroll
IA	2016-iowa-senate-grassley-vs-judge	Patty Judge	Judge	Charles Grassley	Grassley
ID		Jerry Sturgill	Sturgill	Michael Crapo	Crapo
IL	2016-illinois-senate-kirk-vs-duckworth	Tammy Duckworth	Duckworth	Mark Kirk	Kirk
IN	2016-indiana-senate-young-vs-bayh	Evan Bayh	Bayh	Todd Young	Young
KS	2016-kansas-senate-moran-vs-wiesner	Patrick Wiesner	Wiesner	Jerry Moran	Moran
KY		Jim Gray	Gray	Rand Paul	Paul
LA					
MD	2016-maryland-senate-szeliga-vs-van-hollen	Christopher Van Hollen	Van Hollen	Kathy Szeliga	Szeliga
MO	2016-missouri-senate-blunt-vs-kander	Jason Kander	Kander	Roy Blunt	Blunt
NC	2016-north-carolina-senate-burr-vs-ross	Deborah Ross	Ross	Richard Burr	Burr
ND		Eliot Glassheim	Glassheim	John Hoeven	Hoeven
NH	2016-new-hampshire-ayotte-vs-hassan	Maggie Hassan	Hassan	Kelly Ayotte	Ayotte
NV	2016-nevada-senate-heck-vs-cortez-mastro	Catherine Cortez-Masto	Cortez	Joe Heck	Heck
NY	2016-new-york-senate-long-vs-schumer	Charles Schumer	Schumer	Wendy Long	Long
OH	2016-ohio-senate-portman-vs-strickland	Ted Strickland	Strickland	Robert Portman	Portman
OK		Mike Workman	Workman	James Lankford	Lankford
OR		Ronald Wyden	Wyden	Mark Callahan	Callahan
PA	2016-pennsylvania-senate-toomey-vs-mcginty	Kathleen McGinty	McGinty	Patrick Toomey	Toomey
SC	2016-south-carolina-senate-scott-vs-dixon	Thomas Dixon	Dixon	Timothy Scott	Scott
SD		Jay Williams	Williams	John Thune	Thune
UT	2016-utah-senate-lee-vs-snow	Misty Snow	Snow	Mike Lee	Lee
VT	2016-vermont-senate-milne-vs-leahy	Patrick Leahy	Leahy	Scott Milne	Milne
WA	2016-washington-senate-vance-vs-murray	Patricia Murray	Murray	Chris Vance	Vance
WI	2016-wisconsin-senate-johnson-vs-feingold	Russell Feingold	Feingold	Ronald Johnson	Johnson
